Year,Month,Day,CANCEL_RATE,CANCEL_ORDERS,TOTAL_ORDERS,CATEGORY
2024,December,9,"0,00 %",0,249589,Finished
2024,December,9,"0,25 %",624,249589,Other
2024,December,9,"0,50 %",1239,249589,Partner
2024,December,9,"1,84 %",4592,249589,RT
2024,December,9,"0,42 %",1057,249589,Tech
2024,December,9,"0,66 %",1643,249589,User
2024,December,9,"0,61 %",1524,249589,UX
