SUB_CATEGORY,Cancel_rate,Year,Month,Day
Acceptance Rate,"0,00 %",2024,December,2
Discipline Training,"0,25 %",2024,December,2
Discipline Training,"0,26 %",2024,December,9
Distribution,"0,08 %",2024,December,2
Distribution,"0,03 %",2024,December,9
Lack of Couriers,"1,11 %",2024,December,2
Lack of Couriers,"0,50 %",2024,December,9
Acceptance Rate,"0,00 %",2024,December,9
